,code,days
1660,300385,593
1661,600300,3978
1662,997,3952
1663,2505,1466
1664,539,5595
1665,600308,3914
1666,2382,1617
1667,603958,102
1668,687,4793
1669,300477,359
1670,600640,5634
1671,300137,1475
1672,632,4848
1673,2627,1232
1674,600038,3862
1675,600797,4753
1676,603569,72
1677,600271,3253
1678,300469,358
1679,300393,538
1680,603123,1114
1681,548,5579
1682,300295,1144
1683,300267,1254
1684,925,4230
1685,300005,1721
1686,601007,2347
1687,826,4549
1688,601933,1447
1689,2170,2234
1690,2045,2804
1691,2103,2404
1692,65,4478
1693,681,4806
1694,300354,1015
1695,300530,73
1696,300294,1149
1697,600863,5476
1698,600090,4714
1699,2591,1323
1700,300194,1384
1701,2360,1639
1702,300512,124
1703,600589,3752
1704,600031,3259
1705,603678,449
1706,603377,196
1707,600192,4336
1708,627,4855
1709,603099,552
1710,300037,1672
1711,2788,192
1712,2137,2304
1713,300379,691
1714,600676,5634
1715,2683,1086
1716,600169,4413
1717,600462,3215
1718,2108,2394
1719,300312,1111
1720,600665,5634
1721,2086,2432
1722,423,4928
1723,603306,528
1724,603128,1096
1725,300023,1721
1726,600691,5600
